ID,Accident report summary,Project type,Traditional hazard type,Energy source type,Accident severity,Hazard source 1,Hazard source attributes 1,Hazard source 2,Hazard source attributes 2,Hazard source 3,Hazard source attributes 3,Initiating mechanism,Target/threat outcome,Spatiotemporal relation,Control measures
4584,At about 3:00 p.m. on July 9  2013   Employee #1  a foreman with Razmik  Tarkhanian Dba Bridge Iron  was securing a 22 ft wide by 65 ft long trellis  between two buildings that were under construction. Employee #1 was working  alone  removing safety brackets  with an acetylene torch (oxy-acetylene)  from  the column supporting the trellis. The trellis brackets were about 18 ft above  the ground. Employee #1 noticed that the steel tube connecting the trellis to  the northwest column was not straight. Employee #1 was the foreman responsible  for safety and the proper installation of the trellis at the site. Employee #1  decided that the welded connection at the northwest column was unacceptable  and had to be repaired. Employee #1 used an acetylene torch (oxy-acetylene) to  cut the bottom weld on the steel tube connecting the trellis to the northwest  column. When the bottom weld was cut  the weight of the trellis was too great  for the remaining welds to support the 15 000 pound structural steel trellis.  This action allowed the northwest corner of the trellis to fall approximately  two ft and trap Employee #1 between the trellis and the wall. Apparently  the  structural design of the structure was modified by an unqualified foreman   when he removed structural welds. This caused the remaining welds to fail  under the load  and allow the structure to fall. Employee #1 was transported  to the hospital  and he was admitted for over 24 hours  for chest and facial  fractures.,General construction,Crush,Mechanical,Non-fatal,Trellis,Structural failure,Acetylene torch,Cutting operation,N/A,N/A,Trellis collapsed during cutting operation,Employee/Fractures/Hospitalization,Trapped by falling trellis,"Proper structural assessment, safe work practices"
4585,At approximately 7:30 a.m. on May 17  2013  Employee #1  a supervisor and well  driller with Zim Industries  Inc. Dba Bakersfield Well & Pump Company  began  cutting a pipe with an oxygen-acetylene torch after he removed the cap from  the well casing and marked the cut line. He was cutting the well casing to  raise it for the pump pad. Then  a piece of slag fell in excess of 30 ft down  into the well casing  igniting an unknown substance. This caused flames to  rise to the top of the well. Employee #1 was leaning over the open well casing  when flames hit him in the arms  neck and chest area. Employee #1 received  flash burns to the face  neck  anterior torso and bilateral upper extremities.  The well was not properly tested with a gas monitor prior to cutting the well  casing. Employee #1 was not wearing the appropriate personal protective  equipment (a long sleeve shirt (cotton or FRC)); (leathers and welding  gloves). Employee #1 was hospitalized.,Other,Burn,Temperature,Non-fatal,Well casing,Cutting operation,Slag,Ignition of substance,N/A,N/A,Flash burns from ignited substance in well casing,Employee/Flash burns/Hospitalization,Ignition of unknown substance in well,"Safe operation of torches, proper testing of environment"
4586,On January 3  2011  the owner of a contracting company and Employee #1 were  removing the roof of a building as part of a demolition project. When they  removed the main support beam of the roof  the northern section of roof  collapsed. One truss of the southern roof portion remained attached to the  main support beam and was bent approximately 6 feet of the truss down toward  the ground. The owner then decided they should stop for the day and left the  immediate area to park the bobcat skid loader in another portion of the  building; however  Employee #1 continued to work while the owner was out of  the area. The owner walked back to the area where the work was being  conducted  and he heard an oxygen acetylene torch running. He felt the  building vibrate and heard a large crash. The owner arrived in the area and  found Employee #1 under a pile of concrete and mortar. The debris came from a  portion of the wall in the work area. Employee #1 was transported to the  hospital  where he was pronounced dead.,Demolition,Crush,Mechanical,Fatal,Roof,Structural failure,Beam,Removal,N/A,N/A,Collapse during demolition work,Employee/Trauma/Death,Crushed by collapsing roof,"Safe demolition practices, hazard assessment"
4587,On August 23  2007  Employee #1 was using a welder's torch to repair a natural  gas line connection when the gas ignited and exploded. He suffered burns  for  whihc he was hospitalized.,Other,Burn,Chemical,Non-fatal,Gas pipe,Repair work,Welder's torch,Ignition Source,N/A,N/A,Explosion during gas line repair,Employee/Burns/Hospitalization,Gas explosion during welding,"Gas line safety, use of protective equipment"
4588,On August 14  2013  Employee #1 was struck and killed by a falling highway  board sign.,Other,Other,Mechanical,Fatal,Sign,Falling object,N/A,N/A,N/A,N/A,Struck by falling sign,Employee/Trauma/Death,Struck by falling highway sign,"Safety precautions in sign installation, area securement"
4589,At approximately 9:28 a.m. on September 10  2010  Employee #1  the owner of  Ralph Surles Company  was erecting a steel double billboard. The two signs  were on the ground in an upright position. Each sign measured 13 ft tall  30  ft long  and 1 ft 10 in. to 2 ft 2 in. deep. One sign had a catwalk on which  Employee #1 and his employee were working. The sign with the catwalk toppled  onto the adjacent sign  pinning both workers. A third worker  who did not  witness the accident  summoned emergency responders to extricate both workers.  Employee #1 was killed. The other employee was airlifted to a hospital in Fort  Worth for unspecified injuries. Windy weather conditions and the weight of the  two workers may have contributed to the incident.,Other,Crush,Mechanical,Fatal,Billboard,Structural failure,Wind,Weather condition,N/A,N/A,Billboard toppled during erection,Employee/Trauma/Death,Crushed by falling billboard,"Safe erection procedures, weather assessment"
4590,At approximately 10:45 a.m. on September 19  2009  Employee #1 was operating  an Eagle 44 towable boom lift (Serial Number 17901) at an approximate height  of 32 ft to remove signs located outside of a retail store. When the lower  boom's hydraulic cylinder apparently failed  the boom fell to the ground.  Witnesses indicated that Employee #1 was ejected from the basket and then  restrained by his fall protection equipment. He was hospitalized at Renown  Medical Hospital for severe injuries to his face  fractured ribs  and a  fractured vertebra.,Other,Fall and crushing,Mechanical,Non-fatal,Towable boom lift,Hydraulic failure,Hydraulic cylinder,Failure,N/A,N/A,Hydraulic failure causing boom to fall,Employee/Face and rib fractures/Hospitalization,Hydraulic cylinder failure in boom lift,"Regular equipment inspection, fall protection equipment"
4591,On September 24  2007  Employee #1 was removing road construction warning  signs and barriers from a highway. He was moving a metal directional arrow  sign to one side of the freeway when the pin holding the panel to the legs of  the sign gave out. The sign fell to the ground  crushing Employee #1's right  hand against the ground. The tip of his right middle finger was avulsed. He  was transported to the hospital  where he underwent surgery on his hand.,Other,Crush,Mechanical,Non-fatal,Metal directional arrow sign,Structural failure,Pin,Failure,N/A,N/A,Pin failure causing sign to fall and crush hand,Employee/Finger avulsion/Hospitalization,Sign collapse crushing hand,"Secure signage, safety protocols for sign handling"
4592,At approximately 12:30 p.m. on September 15  2006  Employee #1  who worked a  billboard painting company  was on a catwalk situated directly above a  7 200-volt overhead power line. He was pulling on a painting spray hose so it  would reach the work area when he struck the power line and was electrocuted.  A coworker rushed to help him and Emergency Services was called. The Fire  Department responded and transported Employee #1 to the hospital  where he was  pronounced dead. He had been using proper fall protection equipment and had  received basic safety training  but nothing related to the hazards associated  with overhead power lines. His employer had been in the trade for more than 10  years and should have been knowledgeable about the safety requirements for  working around power lines  but it had not scheduled any special provisions  for this job site. The employer had apparently acknowledged the power lines  once he was on the job site and positioned the truck at the opposite end  but  Employee #1  who was in his third week with the company  was directly over the  line at the time of the accident.,Painting,Electrocution,Electrical,Fatal,Power wire,Electrical hazard,Painting spray hose,Proximity to power line,N/A,N/A,Electrocution while pulling hose near power line,Employee/Electrocution/Death,Contact with overhead power line,"Safety training for power line hazards, proper equipment placement"
4593,On August 22  2006  Employee #1 and a coworker were working from a catwalk to  dismantle an aluminum tri-wave sign from a billboard. Both Employee #1 and his  coworker were wearing personal fall protection harnesses and lanyards. There  was a cable installed near the catwalk on which they were standing for their  lanyards to attach. However  Employee #1 did not attach his lanyard to the  cable. After removing a number of aluminum pieces from the sign  Employee #1  and his coworker bundled them together so that they could be lowered to the  ground with a rope. As they lowered the bundle of aluminum to the ground   Employee #1 slipped and fell about 35 feet to a paved parking lot. He landed  head first and was killed.,Other,Fall and crushing,Gravity,Fatal,Billboard,Elevated position,Double-check,Lack of safety attachment,N/A,N/A,Fall from catwalk during sign dismantling,Employee/Fall/Death,Fell from catwalk while dismantling sign,"Use of fall protection equipment, adherence to safety protocols"
4594,On November 12  2013  Employee #1  with Three Frogs Inc.  was cutting down a  eucalyptus tree. Employee #1 was operating an aerial lift from inside the  bucket  and a coworker was also in the bucket of the aerial lift  using a  chain saw to cut branches. After initially cutting five (eight ft) sections  near the top of the tree  Employee #1 raised the lift and attached a rope line  halfway up the branch. Three other coworkers were below on the ground and were  holding onto the line  in an effort to control the fall of the branch.  Employee #1 positioned the lift near the lowest crotch  while the coworker  using the chain saw made several cuts at the base of the approximately 30 ft  branch. Instead of falling away from the aerial lift bucket and toward the  three employees who were pulling on the rope  the branch fell towards Employee  #1 and the coworker  who were in the aerial lift bucket. The coworker in the  bucket was able to move out of the way of the falling branch  which then  struck Employee #1 in the back of the head  striking his forehead against the  top rail of the aerial lift bucket. Employee #1 sustained blunt force trauma  head injuries. Paramedics responded and declared that Employee #1 was dead at  the scene.,Other,Other,Motion,Fatal,Eucalyptus tree,Falling branch,Aerial boom manlift,Operation near tree,N/A,N/A,Branch falling towards lift during tree cutting,Employee/Blunt force trauma/Death,Struck by falling tree branch,"Safe tree cutting practices, proper positioning during cutting"
4595,At approximately 11:20 a.m. on November 7  2013  Employee #1 was operating an  aerial lift and assisting a crew with the demolition of a 135 ft tall  building. The crew consisted of a supervisor  the owner of the company  and  two other employees that were working together to demo the building. The group  had cut the top of four out of the five southwestern most main support beams  earlier that day with no issues. They moved to the northwestern beams and  began cutting the top of four out of five beams  but could not get the I-beam  piece out. After breaking a new 0.625 in. diameter choker  they tried to  extract the piece out  but could not. It was then decided by the owner   supervisor and Employee #1 to cut the bottom of the beam to get the roof to  collapse. Employee #1 made the pre-cuts (cutting the beam  but not cutting all  the way through the beam)  and then he went to the ground in the aerial lift  to get a choker and shackles to attach the lower piece of the beam to the arm  of the Hi-Lo machine that was located on the south end of the building. Once  elevated back to the beam that was pre-cut  Employee #1 attached the shackles  and choker to the arm of the Hi-Lo machine and the cut beam. Employee #1 made  the final cuts to the beam. Employee #1 started down in the aerial lift that  was located on the north end of the building. Instead of booming to the left  (away from the building) and then down  Employee #1 came straight down the  west side of the building. Every other time  Employee #1 had boomed away from  the building and then down according to the owner. As Employee #1 reached  approximately 80 ft above the ground  the roof above the I-beam collapsed. The  piece of the beam that was attached to the Hi-Lo arm swung out and hit  Employee #1 in the back of the neck area  pushing him against the controls of  the aerial lift. The owner of the company went to the lower controls of the  aerial lift and lowered the basket to the ground. By the time the basket was  on the ground  the plant nurses and first responders were on site and started  medical attention on Employee #1. Emergency medical personnel transported  Employee #1 to a county hospital. Employee #1 had received multiple blunt  force injuries to the head  neck  and chest and died at the hospital.,Demolition,Other,Mechanical,Fatal,Building,Structural failure,Beam,Cutting operation,Aerial boom manlift,Positioning,Collapse of roof during beam cutting operation,Employee/Multiple blunt force injuries/Death,Struck by collapsing beam,"Safe demolition methods, hazard assessment, proper positioning"
4596,At approximately 7:15 a.m. on September 20  2013  Employees #1  #2  and #3   employed by Nor-Son Inc.  were performing exterior carpentry work at a  building construction site. Each was working in the basket of one of three  scissor lifts. The building's roof trusses collapsed  struck the three scissor  lifts  and knocked the scissor lifts to the ground with the workers still in  the baskets. Emergency services were called  and the three employees were  transported to the hospital. All were hospitalized. Employee #1 was treated  for leg fractures. Employee #2 was treated for a fractured chest. Employee #3  was treated for lacerations to the face.,General construction,Other,Mechanical,Non-fatal,Roof truss,Structural collapse,Scissor lift,Elevated position,N/A,N/A,Roof trusses collapsing onto scissor lifts,Multiple employees/Injuries/Hospitalization,Struck by collapsing roof trusses,"Structural stability assessment, use of safety equipment"
4597,At approximately 9:09 a.m. on August 19  2013  Employee #1 and Coworker #1   painters employed by Lake Painting Inc.  were painting the exterior of a  commercial building. They previously had installed plastic sheeting on the  concrete sidewalks and asphalt parking lot to protect these surfaces from  paint splatter. They were painting the building's eaves while working from a  lift  a scissor-style self-propelled aerial work platform  at an elevation of  15 feet. They needed to relocate the lift. While doing so  they drove over an  open storm drain grate  the location of which was obstructed by the plastic.  The rear tire of the lift fell into the opening  which caused the lift to tip  over. Employee #1 jumped from the lift as it was falling. He struck the ground  on the asphalt. Employee #1 was transported to the hospital  where he was  admitted and treated for serious head injuries  a fractured arm  and a  fractured leg. He died two days later from his injuries.,Painting,Other,Gravity,Fatal,Aerial boom manlift basket,Tipping hazard,Drain grate,Covered by plastic,N/A,N/A,Tip over due to driving over obscured storm drain grate,Employee/Serious injuries/Death,Fell from tipped over aerial lift,"Secure lift operation, hazard identification, proper lift use"
4598,"At approximately 8:15 a.m. on July 18  2013  Employee #1  an electrician  employed by an electrical and other wiring installation company  was working  as a subcontractor installing electrical wires in the Stage Area of a building  site. He was operating a scissor lift  a Skyjack SJ111-3219  Equipment No.  103319. He moved the lift to the area where he intended to run electrical  wires. After positioning the lift  he raised the lift's platform to reach the  conduit on the ceiling. Employee #1 pushed the electrical wires from the left  conduit to the right. After pushing the wires into the conduit  he needed to  move the lift forward and to his right to pull the electrical wires from the  other conduit. He was looking down from the top guardrail of the lift as he  reached for the lift's controller behind him with his right hand  to move the  lift forward. Employee #1 pushed the controller forward to drive the lift to  the right. However  the lift's platform rose up. Employee #1 realized the  toggle switch was on ""lift"" mode instead of a ""drive"" mode. He immediately  released the controller and tried to move the platform down  but it continued  to move up. Employee #1's face was caught between the lift's top guardrail and  an overhead pipe. Eventually  Employee #1 was able to bring the platform down.  Emergency services were called  and the San Mateo Fire Department responded.  Employee #1 was transported to the hospital  where he was admitted and treated  for multiple facial fractures. He was hospitalized for approximately three  days. This event was reported to Cal/OSHA by the San Mateo Fire Department and  the Employer at approximately 8:30 a.m. and 3:30 p.m.  respectively  on July  18  2013. Cal/OSHA initiated its investigation at the work site at  approximately 10:15 a.m. on July 30  2013. Participating in the inspection  were Employee #1's foreman/supervisor  the project superintendent of the  general contractor  and the field operations manager of the general  contractor. The investigation revealed that Employee #1's employer had leased  the scissor lift from Sunstate Equipment since October 16  2012. The employer  returned the scissor lift to Sunstate Equipment on July 19  2013  the day  after Employee #1 was injured. While the equipment was in the employer's  possession  the lift's relay switch was replaced to correct a steering  problem  and the platform control box was replaced due to the lift's inability  to go up. Cal/OSHA did not issue an Accident-Related citation  because the  investigation determined that the cause was not a violation of Title 8   California Code of Regulations (T8 CCR). However  Cal/OSHA issued one General  Citation for the employer's failure to train and instruct its employee in the  proper use of Skyjack III 3219 Scissor Lift  in accordance with the  manufacturer's operating instructions  and Section 3203  Injury and Illness  Prevention Program  a violation of T8 CCR  Section 3638(d).",Electrical,Other,Mechanical,Non-fatal,Scissor lift,Control confusion,Switch,Improper setting,Pipe,Proximity,Face caught between lift guardrail and pipe due to control mishandling,Employee/Multiple facial fractures/Hospitalization,Face caught between lift guardrail and overhead pipe,"Safe operation of scissor lifts, equipment training"
4599,On July 15  2013  Employee #1  a work crew supervisor employed by a medical  clinic  was engaged in exterior carpentry. He was working from a personnel  platform attached to the forks of a Terex SS-636 Turbo Square Shooter  Telehandler. The machine rolled backward down a hill and struck a tree.  Employee #1 and the personnel platform were ejected from the lift. Employee #1  was killed.,Carpentry,Other,Gravity,Fatal,Platform,Machinery failure,Telehandler,Rollback,Tree,Collision,Ejection from lift due to machine rolling back and hitting tree,Employee/Trauma/Death,Ejected from personnel platform in telehandler accident,"Use of fall protection, proper operation of telehandlers"
4600,On June 17  2013  an employee was working as a fulltime  noncontract carpenter  for a framing contractor. He was in a scissor lift cutting a piece of plywood  with a radial saw  such as a Skilsaw-type saw  when the saw blade bound up and  kicked back. The employee sustained a laceration to his left hand that  necessitated hospitalization. The Division was notified by the employer that  same day.,Carpentry,Other,Mechanical,Non-fatal,Radial saw,Blade binding,Scissor lift,Elevation,N/A,N/A,Saw blade kicked back while cutting,Hand/Laceration/Hospitalization,Saw blade kickback causing hand injury,"Safe operation of saws, personal protective equipment"
4601,On June 14  2013  Employee #1 had been working from a rented aerial device on  a cell tower. Employee #1 completed the project and was driving the lift down  a gravel road to a predetermined site for pick-up. Employee #1 was properly  tied in the basket a few feet off the ground. For unknown reasons  the lift  left the roadway causing Employee #1 to bounce around inside the basket.  Employee #1 sustained serious lacerations to his left lower leg. Employee #1  was transported to a nearby hospital  where he remained for several days  receiving treatment for a large avulsion of all tissue over the left tibia and  a severe laceration to the right knee.,Other,Other,Mechanical,Non-fatal,Aerial device,Movement,Gravel pavement,Uneven surface,N/A,N/A,"Lift left roadway, bounced inside basket",Leg/Lacerations/Serious injury,"Bounced in aerial lift bucket, severe leg injuries","Safe operation of aerial lifts, proper positioning"
4602,At approximately 9:30 a.m. on May 29  2013  an incident occurred when Employee  #1  a construction worker  sustained a severe head injury when he fell  approximately seven feet from the platform of a scissor lift. Employee #1 was  taken to a local area hospital for lacerations  and multiple fractures   following his stay there  he was sent to a local rehabilitation center for  more treatment.,General construction,Other,Gravity,Non-fatal,Scissor lift,Elevation,N/A,N/A,N/A,N/A,Fell from platform,Head/Lacerations and fractures,Fell from scissor lift,"Use of fall protection, safe work practices on lifts"
4603,On May 21  2013  Employee #1 of Rafael Construction  Inc.  climbed out of a  man basket onto a first story roof area and walked a short distance to the  metal roof awning area on the building. Employee #1 stepped on a perforated  metal sheet of the metal roof awning that gave way under his weight and fell  approximately 13 feet to the grade of earth and gravel below. Employee #1  sustained serious injuries that required more than 24 hours of  hospitalization.,General construction,Other,Gravity,Non-fatal,Metal roof awning,Structural weakness,Perforated sheet,Gave way under weight,N/A,N/A,Stepped on weak metal sheet,Fall/13 feet/Serious injuries,Fell through perforated metal sheet on roof,"Hazard assessment, fall protection equipment"
4604,On May 7  2013  Employee #1  employed by a drywall contractor  was working at  a commercial warehouse building. He was working as a drywall taper  spotting  screws in the drywall in the main area of the warehouse from his position on a  scissor lift (aerial lift). Employee #1 fell to the concrete floor of that  working level. Coworker #1  employed by an electrical subcontractor also  working at the facility  found Employee #1 lying prone  unconscious and  bleeding from a laceration on his forehead. Emergency services were called   and the Fullerton Fire Department responded. Employee #1 was transported to  University of California Irvine Medical Center (UCI)  where he was admitted  for observation and treatment of a head injury. The Fullerton Fire Department  reported this event to Cal/OSHA on May 7  2013. Cal/OSHA's subsequent  investigation determined that there were no witnesses to Employee #1's fall.  In addition  Employee #1 did not respond to attempts to be interviewed. The  investigation did establish that work at the site began at 6:00 a.m. on May 7   2013  and that the workers all took their lunch break at 10:30 a.m. After the  lunch break  Employee #1 continued with his assigned work and was alone on one  side of the facility for approximately 20 minutes before he was found on the  floor at approximately 12:24 p.m. by Coworker #1  the subcontractor. When  found  Employee #1 was lying on the floor approximately 6 feet away from the  scissor lift  which was in the down and stowed position. Employee #1 had  worked as a drywall finisher for more than 11 years and had been a member of  the Drywall Finishers Regional Local Union 1136 since 2001. He was certified  as an aerial lift power user and had received other specialized training  related to his work from the union as well as site specific safety training  from the employer.,Other,Other,Gravity,Non-fatal,Scissor lift,Elevation,Concrete floor,Hard surface,N/A,N/A,Fall from lift (unwitnessed),Head/Fall injury/Severe,Fell from scissor lift,"Use of fall protection, safe work practices on lifts"
4605,On April 10  2013  two employees (Employee #1  Employee #2)  with Masonry  Medic LLC  were in a boom truck doing repair work on a chimney  when the  basket came in contact with a 7200 volt power line. Employee #1 was killed. No  additional information was provided about Employee #2.,Other,Electrocution,Electrical,Fatal,Boom truck,Elevation,Power wire,High Voltage,N/A,N/A,Contact with power line,Electrocution/Death,Contact with power line from boom truck,"Safety training for power line hazards, proper equipment placement"
4606,At approximately 9:00 a.m. on March 30  2013  Employee #1  a carpenter  was  elevated on a scissor lift. The employee fell approximately 11ft to the  ground. Employee #1 was flown to Stanford Hospital  where he was treated for  multiple fractures. Employee #1 was hospitalized for twenty-four hours.,Carpentry,Other,Gravity,Non-fatal,Scissor lift,Elevation,Ground,Hard surface,N/A,N/A,Fell from lift,Multiple fractures/Serious injury,Fell from scissor lift,"Use of fall protection, safe work practices on lifts"
4607,On March 12  2013  Employee #1 and Coworker #1  electricians employed by an  electrical company  were working at an aerospace facility. They were in an  aerial lift  a Genie Boom Z 40/23N  model year 2011  Serial Number  Z40N11-1428. The lift was elevating them to install electrical conduit at the  facility. The lift was situated approximately 1 foot from the edge of a pit  that was next to the facility. The pit measured approximately 5 feet to 8 feet  deep. The lift moved forward and fell into the pit. Employee #1 was injured.  He was transported to the hospital  admitted  and treated for a fractured  ankle. The investigation determined that other employees were working inside  the facility. The investigation was unable to determine the circumstances  surrounding the lift's moving and falling into the pit.,Electrical,Other,Gravity,Non-fatal,Aerial boom manlift,Elevation,Pit,Depth variation,N/A,N/A,Lift fell into pit,Ankle/Fracture/Hospitalization,Fell into pit with aerial lift,"Safe operation of aerial lifts, hazard identification"
4608,On December 1  2010  Employee #1 painted a four story condominium complex. The  first floor of the complex was an open area designed for resident parking.  Employee #1 operated a JLG model 600S  serial number 0954270300042766 aerial  lift. He worked from an elevated work platform. Employee #1 had his back to  the building. He attempted to position the aerial lift to begin painting the  window trim  and either moved the aerial lift or boomed the mast out. As a  result  Employee #1 became pinned between the building and the control  station  inside the elevated working platform. Employee #1 suffered severe  injuries  including contusions and abrasions. Other employees at the work site  found Employee #1 pinned between the edge of the garage and the controls of  the aerial lift. Employee #1 was taken by helicopter to a local hospital. On  December 14  2010  Employee #1 died in the hospital from the injuries he  sustained in this accident.,Painting,Other,Mechanical,Fatal,Aerial boom manlift,Elevation,Building,Solid structure,N/A,N/A,Pinned between lift and building,Severe injuries/Death,Pinned between building and aerial lift,"Safe operation of aerial lifts, awareness of surroundings"
4609,At approximately 3:30 p.m. on November 10  2010 Employee #1 was working alone  from an aerial lift  Make JLG  Model 450AJ Series II  at a height of  approximately 15 feet above the ground. His assignment was to paint the  exterior awning of a commercial building. Witness #1 exited the building and  noticed Employee #1 in the aerial lift  but Employee #1 was not moving and  appeared to be slumped over the aerial lift controls and caught between the  aerial lift rails and the steel awning structure of the building. Witness #1  went back into the building to summon help for Employee #1. Witness #2 was  inside the building and heard that Employee #1 was outside the building in the  aerial lift  and that he needed help. Witness #2 proceeded outside to  investigate and attempted to communicate with Employee #1 in the aerial lift.  Witness #2 climbed the boom of the aerial lift and attempted to move the  basket of the aerial lift by manually pushing and pulling the basket of the  aerial lift so it would dislodge Employee #1 from between the building and the  aerial lift basket rails. Witness #2 stated Employee #1 was pinned by the neck  between the aerial lift basket rail located above the control panel and the  steel poles that formed the awning structure on the exterior of the building.  Witness #2 was able to free Employee #1 from between the building structure  and the basket rail of the aerial lift. Employee #1 was wearing a fall  protection body harness and a portion of the harness was wrapped around the  move/steer joystick lever of the aerial lift and the lever was stuck in the  down position. Witness #2 dislodged the fall protection harness from the  joystick lever and was able to dislodge Employee #1 from between the structure  of the building and the aerial lift basket rail so CPR could be administered.  Witness #2 stated he attempted to move the different control levers on the  aerial lift but the lift was not running and the movement of the control  levers did not activate the aerial lift. Witness #3  a construction worker  from across the street  came over to the job site after hearing that Employee  #1 was pinned by the aerial lift. Witness #3 went to the aerial lift and  started the unit from the ground position. Witness #3 was able to lower the  aerial lift basket to the ground where Employee #1 was then removed from the  basket of the aerial lift and attended to by rescue personnel. Employee #1 was  taken to a nearby hospital and pronounced dead. The autopsy report stated the  cause of death was asphyxiation by mechanical compression of the neck and  chest. The cause of the accident was determined to be operator error.,Painting,Asphyxia,Mechanical,Fatal,Aerial boom manlift,Elevation,Awning,Steel structure,N/A,N/A,Pinned between lift and awning,Asphyxiation/Death,Pinned between building structure and aerial lift,"Safe operation of aerial lifts, use of fall protection"
4610,At approximately 11:00 a.m. on November 5  2009  Employee #1 was removing  wall-mounted  triangular brackets and mounting clips from an interior wall.  While repositioning the aerial lift  Employee #1 was facing the controls and  his back was to the wall-mounted brackets. The basket of the aerial lift  became caught on a bracket  and when the basket released from the bracket  the  sudden upward movement ejected Employee #1 from the lift. Employee #1 fell to  the ground and was killed. He was wearing a full body harness with lanyard but  was not tied off to the aerial lift platform.,Other,Fall and crushing,Mechanical,Fatal,Aerial boom manlift,Basket movement,Wall bracket,Sharp Edge,N/A,N/A,"Basket caught on bracket, sudden release",Fall/Death,Ejected from aerial lift after catching on bracket,"Fall protection use, proper lift operation"
4611,On January 15  2008  Employee #1 was using a JLG aerial lift to patch holes on  a building's northeast outer wall. As he maneuvered the lift up and down to  fix the wall  he became pinned between the lift's control station and the  ceiling wall. He was discovered by coworkers and a forklift was used to  extricated him by pushing the aerial lift away from the wall. Employee #1  sustained crushing injuries and was administered CPR by a coworker until  Emergency Services arrived. He was transported to Lee Memorial Hospital in  Fort Myers  FL  where he died at 1:15 p.m. on January 20  2008.,General construction,Crush,Mechanical,Fatal,Aerial boom manlift,Maneuvering,Wall,Solid surface,N/A,N/A,Pinned between lift control station & wall,Crushing injuries/Death,Pinned between lift control station and ceiling wall,"Safe operation of aerial lifts, awareness of surroundings"
4612,On August 7  2007  Employee #1 was using an articulating lift to install metal  braces on the roof of a newly constructed parking structure when he apparently  lost control of the lift. He became caught between the lift's control panel  and a concrete girder. Employee #1 was crushed and killed.,Roofing,Crush,Mechanical,Fatal,Manlift,Control,Concrete girder,Solid structure,N/A,N/A,"Lost control, caught between lift and girder",Crushing/Death,Caught between lift control panel and concrete girder,"Safe operation of articulating lifts, hazard assessment"
4613,On July 18  2007  Employees #1 and #2 were assigned to weld the facade of a  mezzanine. One of the workers raised the articulating boom basket too far and  both employees' heads  necks  and shoulders became caught between the control  pedestal of the lift and the face of the mezzanine. Employees #1 and #2  sustained injuries for which they were treated and released the same day.,Welding,Other,Mechanical,Non-fatal,Boom,Elevation,Mezzanine floor,Solid structure,N/A,N/A,"Overelevated, caught between lift and facade",Head and shoulder injuries/Released,Caught between lift and mezzanine,"Use of fall protection, safe operation of lifts"
4614,At 1:25 p.m. on July 7  2007 Employees #1 and #2 were working at a large  commercial construction site in San Bernandino  CA. Employee #1 was in a 60 ft  JLG aerial lift  model #660SJ  serial #03-00060394  welding ledger angles on  the south wall at the northwest corner of a room in Building #1. The ledger  angles were 21 ft 6 in. above the earthen ground. After welding a ledger angle  on the north side of an I-beam  Employee #1 was moving the boom's basket  underneath the I-beam toward the beam's south side  when he inadvertently  pinned himself between the beam's bottom flange and top rail of the basket.  Employee #1 sustained crushing injuries to his neck and chest. Employee #2   also an ironworker  climbed up the 30 ft long extended boom of the aerial lift  to rescue Employee #1. He tried using the lift controls to lower the basket  when it suddenly surged and shook  pinning Employee #2's left arm and left  ribs between the south side of the I-beam and the control panel of the basket.  Both men were transported to Loma Linda University Medical Center for  treatment. Employee #1 died at approximately 2:10 p.m. that samew day.  Employee #2 underwent surgery for a severely fractured left arm.,General construction,Crush,Mechanical,Fatal,Aerial boom manlift,Boom movement,I-beam,Solid structure,N/A,N/A,Pinned between I-beam and lift basket,Crushing injuries/One death,Pinned between I-beam and lift basket,"Safe operation of aerial lifts, hazard awareness"
4615,On December 21  2006  Employee #1 was operating the controls of a mobile  aerial lift to move the lift forward. Due to the position of the control  panel  his back was facing the direction in which he was traveling. He was  pinned between a purlin and the control panel/ aerial lift's guardrail  and  was crushed and asphyxiated.,Other,Crush,Mechanical,Fatal,Mobile aerial manlift,Movement,Purlin beam,Structural beam,N/A,N/A,Pinned while moving lift,Crushing and asphyxiation/Death,Pinned between purlin and lift control panel,"Safe operation of lifts, proper positioning"
4616,At approximately 11:30 a.m. on April 27  2007  Employee #1 was working from an  aerial lift  JLG Model Number 400S  Serial Number 30079117  approximately 21  feet above ground  welding steel bracing under the ceiling of a commercial  building under construction. A coworker noticed that Employee #1 seemed to be  not moving and blue in the face. Employee #1 was lowered to the ground and  cardio-pulmonary resuscitation started but was unsuccessful. Employee #1 was  pronounced dead at the scene  apparently due to being caught between the  aerial lift and a brace. The aerial lift was later tested and problems were  identified with the control stick which controlled upward movement of the  boom. The control stick would not self-center or stop movement of the boom  when released slowly as required by the manufacturer. Examination of the  control stick found that hardened and compacted granular material built up on  the centering ring and spring prevented the control stick from centering.  There was also an absence of grease or lubricant on the centering ring and  spring. Once the granular material was removed  the control stick functioned  properly and self centered.,General construction,Crush,Mechanical,Fatal,Aerial boom manlift,Control malfunction,Steel brace,Solid structure,N/A,N/A,"Control stick failure, pinned against brace",Death by asphyxiation,Caught between aerial lift and brace,"Regular equipment inspection, safe operation of lifts"
